division,idno,subjects,name,degree
First ,01AM015000,ENGLISH                                           SANSKRIT                                          ANCIENT HISTORY                                   ,Shri H M Cairae,GRADUATE                                          
First ,01AM015000,HISTORY                                                                                                                                               ,Shri H M Cairae,P.G.
Second ,01AM016200,ENGLISH                                                                                                                                               ,Shri Vinod Kumar Pipersenia,P.G.
Second ,01AM016200,ZOOLOGY                                           BOTANY                                            CHEMISTRY                                         ,Shri Vinod Kumar Pipersenia,GRADUATE                                          
Pass,01AM015600,BUSINESS ADMN.                                    MANAGEMENT                                                                                          ,Shri Anup Kumar Thakur,MBA                                               
First ,01AM015600,ECONOMICS                                                                                                                                             ,Shri Anup Kumar Thakur,GRADUATE                                          
First ,01AM015600,ECONOMICS                                                                                                                                             ,Shri Anup Kumar Thakur,P.G.
Second ,01AM016100,POLITICAL SC.                                     HISTORY                                           ENGLISH                                           ,Shri B. K. Dev Varma,GRADUATE                                          
First ,01AM015900,ECONOMICS                                                                                                                                             ,Shri Vinay Sheel Oberoi,GRADUATE                                          
First ,01AM015900,ECONOMICS                                                                                                                                             ,Shri Vinay Sheel Oberoi,P.G.
First ,01AM015700,SYSTEM ANALYSIS                                   FINANCE                                                                                             ,Shri Jitesh Khosla,P.G.
Second ,01AM015700,FRENCH                                                                                                                                                ,Shri Jitesh Khosla,CERTIFICATE                                       
First ,01AM015700,MECH.ENGG.                                                                                                                                            ,Shri Jitesh Khosla,GRADUATE                                          
Second ,01AM016701,HISTORY                                                                                                                                               ,Shri Bhaskar Mushahary,P.G.
First ,01AM016800,CHEMISTRY                                                                                                                                             ,Shri Subhash Chandra Das,"P.G.,Gauhati University "
Ordinary ,01AM016800,PROJECT MGT                                                                                                                                           ,Shri Subhash Chandra Das,"P.G.,Manchester Univ. U.K."
First ,01AM017100,POLITICAL SC.                                                                                                                                         ,Shri Suresh Chandra Panda,GRADUATE                                          
Pass,01AM017100,PUBLIC ADMN                                                                                                                                           ,Shri Suresh Chandra Panda,PG DIPLOMA                                        
First ,01AM017100,POLITICAL SC.                                                                                                                                         ,Shri Suresh Chandra Panda,P.G.
Ordinary ,01AM017000,INDL ENGG.                                        INDL.MGT                                                                                            ,Shri Anoop Kumar Srivastava,P.G.
First ,01AM017000,MECH.ENGG.                                                                                                                                            ,Shri Anoop Kumar Srivastava,GRADUATE                                          
First ,01AM017200,CIVIL ENGG                                                                                                                                            ,Shri Rajiv Yadav,"B E                                               ,IIT Roorkee"
First ,01AM017200,CIVIL ENGG                                                                                                                                            ,Shri Rajiv Yadav,"M TECH                                            ,IIT New Delhi"
 ,01AM017200,BUSINESS ADMN.                                                                                                                                        ,Shri Rajiv Yadav,"MBA(UK)                                           ,The University of HULL "
Second ,01AM018000,ECONOMICS                                                                                                                                             ,Shri Kuljit Singh Kropha,GRADUATE                                          
First ,01AM018000,ECONOMICS                                         SOCIAL POL&PLANNING -UK                                                                             ,Shri Kuljit Singh Kropha,P.G.
First ,01AM017800,ECONOMICS                                                                                                                                             ,Shri Himangshu Sekhar Das,GRADUATE                                          
Second ,01AM017600,ECONOMICS                                         POLITICAL SC.                                                                                       ,Shri Jai Priye Prakash,P.G.
First ,01AM017600,ENGLISH                                                                                                                                               ,Shri Jai Priye Prakash,GRADUATE                                          
Second ,01AM018005,ENGLISH                                           POLITICAL SC.                                                                                       ,Ms. T Y Das,GRADUATE                                          
First ,01AM018100,COMMERCE                                                                                                                                              ,Shri Kamal Kant Mittal,GRADUATE                                          
First ,01AM018100,COMMERCE                                                                                                                                              ,Shri Kamal Kant Mittal,P.G.
 ,01AM018400,BUSINESS ADMN.                                                                                                                                        ,Shri Jatinder Bir Singh,MBA                                               
Second ,01AM018400,ENGLISH                                                                                                                                               ,Shri Jatinder Bir Singh,P.G.
Second ,01AM018400,ENGLISH                                           POLITICAL SC.                                     ECONOMICS                                         ,Shri Jatinder Bir Singh,GRADUATE                                          
Second ,01AM018300,ECONOMICS                                                                                                                                             ,Shri V B Pyarelal,GRADUATE                                          
Second ,01AM018300,ECONOMICS                                                                                                                                             ,Shri V B Pyarelal,P.G.
First with Distinction,01AM018300,SOCIAL SCIENCES                                                                                                                                       ,Shri V B Pyarelal,"M.PHIL                                            ,Punjab Chandigarh"
First ,01AM018700,HISTORY                                           POLITICAL SC.                                     SOCIOLOGY                                         ,Shri Jagdish Prasad Meena,"GRADUATE                                          ,Rajasthan University "
Second ,01AM018700,                                                  SOCIOLOGY                                                                                           ,Shri Jagdish Prasad Meena,"MA,Rajasthan University "
 ,01AM018700,RUR SOCIAL DEV                                                                                                                                        ,Shri Jagdish Prasad Meena,"P.G.,The University of Reading "
 ,01AM018700,PUBLIC ADMN                                                                                                                                           ,Shri Jagdish Prasad Meena,"PG DIPLOMA                                        ,IIPA "
First ,01AM018700,SOCIAL SCIENCES                                                                                                                                       ,Shri Jagdish Prasad Meena,"M.PHIL                                            ,Punjab University "
Ordinary ,01AM018600,ELECTRICAL ENGG                                                                                                    ,Shri Arun Kumar,GRADUATE                                          
Ordinary ,01AM018600,MECH.ENGG.                                                                                                                                            ,Shri Arun Kumar,GRADUATE                                          
Third,01AM014901,ENGLISH                                           HISTORY                                           ECONOMICS                                         ,Shri P B O Warjri,BA
First ,01AM016600,BUSINESS ADMN.                                                                                                                                        ,Shri Kapil Dev Tripathi,MBA                                               
First ,01AM016600,PHYSICS                                           MATHEMATICS                                       STATISTICS                                        ,Shri Kapil Dev Tripathi,"B.Sc.,Allahabad University "
First ,01AM016600,PHYSICS                                                                                                                                               ,Shri Kapil Dev Tripathi,"M.Sc.,Allahabad University "
Ordinary ,01AM018900,BUSINESS ADMN.                                    MARKETING                                         HUMAN RES.MGT                                     ,Shri Alok Kumar,MBA(UK)                                           
First ,01AM018900,GEOLOGY                                                                                                                                               ,Shri Alok Kumar,"GRADUATE                                          ,Patna University "
First ,01AM018900,GEOLOGY                                                                                                                                               ,Shri Alok Kumar,"M.Sc.,Patna University "
First ,01AM018500,BOTANY                                            ZOOLOGY                                           CHEMISTRY                                         ,Shri Ram Tirath Jindal,"B.Sc.,Punjab University Patiala"
First ,01AM018500,CHEMISTRY                                                                                                                                             ,Shri Ram Tirath Jindal,"M.Sc.,Punjab Agriculture University Ludhiana"
First ,01AM018500,GERMAN                                                                                                                                                ,Shri Ram Tirath Jindal,"CERTIFICATE                                       ,Punjab University Chandigarh"
Ordinary ,01AM019100,BUSINESS ADMN.                                                                                                                                        ,Shri Ajay Kumar Bhalla,MBA                                               
First ,01AM019100,BOTANY                                                                                                                                                ,Shri Ajay Kumar Bhalla,P.G.
First ,01AM019100,BOTANY                                                                                                                                                ,Shri Ajay Kumar Bhalla,GRADUATE                                          
First ,01AM019300,Physical Engg                                                                                                    ,Shri Prashant Naik,"M TECH                                            ,Indian I I Sc. Bangalore "
Ordinary ,01AM019000,ECONOMICS                                         ENGLISH                                           POLITICAL SC.                                     ,Shri Davinder Kumar,"GRADUATE                                          ,Punjab Chandigarh"
First ,01AM019000,LAW                                                                                                                                                   ,Shri Davinder Kumar,"LL.B.                                             ,Rajasthan Jaipur"
First ,01AM019000,DEFENCE STUDIES                                                                                                                                       ,Shri Davinder Kumar,"P.G.,Punjabi Patiala"
 ,01AM019000,PUBLIC ADMN                                                                                                                                           ,Shri Davinder Kumar,"CERTIFICATE                                       ,Maxwell School of Admn, Syracuse"
Ordinary ,01AM019200,CHEMISTRY                                                                                                                                             ,Shri Shyam Lal Mewara,"P.G.,Jodhpur University "
Second ,01AM018800,HISTORY                                                                                                                                               ,Shri Yeshi Tsering,P.G.
First with Distinction,01AM018800,BUSINESS ADMN.                                    PUBLIC SERVICE                                                                                      ,Shri Yeshi Tsering,"MBA(UK)                                           ,BIRMINGHAM "
Second ,01AM019400,ECONOMICS                                         MATHEMATICS                                                                                         ,Shri K V Eapen,GRADUATE                                          
First ,01AM019400,MANAGEMENT                                                                                                                                            ,Shri K V Eapen,PG DIPLOMA                                        
First with Distinction,01AM019400,MACRO ECO POLICY & PLG                                                                                                                                ,Shri K V Eapen,P.G.
Second ,01AM019400,ECONOMICS                                                                                                                                             ,Shri K V Eapen,P.G.
Second ,01AM019400,ECONOMICS                                                                                                                                             ,Shri K V Eapen,P.G.
Second ,01AM019600,ENGLISH                                           HISTORY                                           POLITICAL SC.                                     ,Shri Parmarsan S Thangkhiew,GRADUATE                                          
Ordinary ,01AM019600,BUSINESS ADMN.                                                                                                                                        ,Shri Parmarsan S Thangkhiew,MBA                                               
Ordinary ,01AM019600,ENGLISH                                                                                                                                               ,Shri Parmarsan S Thangkhiew,P.G.
Second ,01AM020200,ECONOMICS                                                                                                                                             ,Shri Sumeet Jerath,MA
Second ,01AM020200,BUSINESS ADMN.                                                                                                                                        ,Shri Sumeet Jerath,MBA                                               
First ,01AM020200,ECONOMICS                                                                                                                                             ,Shri Sumeet Jerath,B.A. (Hons)
First with Distinction,01AM020200,PUBLIC SERVICE                                    INTERNATIONAL DEV                                                                                   ,Shri Sumeet Jerath,"MBA(UK)                                           ,BIRMINGHAM, "
First ,01AM020300,MATHEMATICS                                       PHYSICS                                           CHEMISTRY                                         ,Shri M G V K Bhanu,GRADUATE                                          
First ,01AM020300,PHYSICS                                                                                                                                               ,Shri M G V K Bhanu,P.G.
First ,01AM019700,ECONOMICS                                                                                                                                             ,Shri Rajiv Kumar Bora,P.G.
Second ,01AM019700,ECONOMICS                                                                                                                                             ,Shri Rajiv Kumar Bora,GRADUATE                                          
First ,01AM019700,FINANCE                                                                                                                                               ,Shri Rajiv Kumar Bora,"M.Sc.,TEXAS A&M,USA "
First ,01AM019700,POLITICAL SC.                                     INTNL STUDIES                                                                                       ,Shri Rajiv Kumar Bora,"MA,CALIFORNIA,USA "
First ,01AM020500,PHYSICS                                           CHEMISTRY                                         MATHEMATICS                                       ,Shri Kumar Sanjay Krishna,GRADUATE                                          
First ,01AM020500,PHYSICS                                                                                                                                               ,Shri Kumar Sanjay Krishna,P.G.
Ordinary ,01AM020400,BUSINESS ADMN.                                                                                                                                        ,Shri Hector Marwein,MBA                                               
First ,01AM020400,POLITICAL SC.                                                                                                                                         ,Shri Hector Marwein,P.G.
Third,01AM020400,POLITICAL SC.                                     ECONOMICS                                                                                           ,Shri Hector Marwein,GRADUATE                                          
First ,01AM019800,ELECTRONICS                                       COMMN.ENGG                                                                                          ,Shri V S Bhaskar,GRADUATE                                          
First ,01AM020700,GEOLOGY                                                                                                                                               ,Shri Nandan Singh Samant,M.Sc.
First ,01AM020700,MATHEMATICS                                       PHYSICS                                           GEOLOGY                                           ,Shri Nandan Singh Samant,GRADUATE                                          
First ,01AM019900,ECONOMICS                                                                                                                                             ,Shri Sailesh,GRADUATE                                          
Second ,01AM019900,ECONOMICS                                                                                                                                             ,Shri Sailesh,P.G.
Grade 'A',01AM019900,BUSINESS ADMN.                                                                                                                                        ,Shri Sailesh,PG DIPLOMA                                        
 ,01AM019900,INTNL STUDIES                                                                                                                                         ,Shri Sailesh,"P.G.,GRIPS,TOKYO Tokyo "
First ,01AM020000,PHYSICS                                                                                                                                               ,Shri Saraswati Prasad,P.G.
