city,name,institute,cadre,duration_weeks,idno,training_name,year
Calcutta            ,Shri H M Cairae,Indian Institute of Management Calcutta                                    ,Assam Meghalaya,1,01AM015000,Agriculture and Rural Development,1986-1987
Bhopal              ,Shri H M Cairae,M P Academy of Administration                                              ,Assam Meghalaya,4,01AM015000,Programme Implementation,1987-1988
Lucknow             ,Shri H M Cairae,Indian Institute of Management                                             ,Assam Meghalaya,1,01AM015000,Agriculture and Rural Development,1988-1989
Hyderabad,Shri H M Cairae,Administrative Staff College of India,Assam Meghalaya,1,01AM015000,The Administrative Environment,1994-1995
,Shri Vinay Sheel Oberoi,ATIR,Assam Meghalaya,1,01AM015900,Policy Planning and Analysis,1985-1986
Hyderabad           ,Shri Vinay Sheel Oberoi,Institute of Public Enterprise                                             ,Assam Meghalaya,1,01AM015900,Mgmt. of State Enterprises Level I,1986-1987
Simla               ,Shri Vinay Sheel Oberoi,Himachal Pradesh Institute of Public Administration                        ,Assam Meghalaya,4,01AM015900,Programme Implementation,1987-1988
Hyderabad,Shri Vinay Sheel Oberoi,Administrative Staff College of India,Assam Meghalaya,1,01AM015900,International Trade,1988-1989
Mussoorie,Shri Vinay Sheel Oberoi,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,3,01AM015900,Middle Level - 1978- 84 Batches,1994-1995
New Delhi,Shri Vinay Sheel Oberoi,The Energy and Resources Institute (TERI),Assam Meghalaya,1,01AM015900,Infrastructure De-Regulation,2008-2009
Gurgaon,Shri B. K. Dev Varma,Management Development Institute,Assam Meghalaya,1,01AM016100,Mgt.Concepts and Decision Making Tech,1985-1986
Thiruvananthapuram  ,Shri B. K. Dev Varma,Institute of Management in Government                                      ,Assam Meghalaya,4,01AM016100,JUNIOR LEVEL 4 WEEKS,1986-1987
Mumbai,Shri B. K. Dev Varma,Tata Institute of Social Sciences (TISS),Assam Meghalaya,1,01AM016100,Social Welfare,1991-1992
Ahmedabad           ,Shri B. K. Dev Varma,Indian Institute of Management                                             ,Assam Meghalaya,1,01AM016100,Public Policy Analysis,1995-1996
Mussoorie,Shri B. K. Dev Varma,Lal Bahadur Shastri National Academy Of Administration,Assam Meghalaya,2,01AM016100,Senior Level - 1979-82 Batches,1999-2000
Bangalore,Shri B. K. Dev Varma,Indian Institute of Management,Assam Meghalaya,1,01AM016100,Negotiating Strategies and Public Private Partnership,2008-2009
,Shri Jitesh Khosla,PSIPA,Assam Meghalaya,1,01AM015700,"Motivation,Attitude & Beh.in Pub.Service",1985-1986
Hyderabad,Shri Jitesh Khosla,Administrative Staff College of India,Assam Meghalaya,1,01AM015700,"Awareness of Intl. Indian Eco.Envt.,HRD",1986-1987
,Shri Jitesh Khosla,MIDA,Assam Meghalaya,4,01AM015700,Programme Implementation,1987-1988
Ahmedabad           ,Shri Jitesh Khosla,Indian Institute of Management                                             ,Assam Meghalaya,1,01AM015700,Industrial Policy Planning and Dev.,1988-1989
