cadre,name,year,duration_weeks,idno,training_name
Assam Meghalaya,Shri H M Cairae,2004,39,01AM015000,"IIPA,N.D.PUBLIC ADMN                                                                                "
Assam Meghalaya,Shri B. K. Dev Varma,1984,8,01AM016100,IIPA ND                                                                                             
Assam Meghalaya,Shri Jitesh Khosla,1987,4,01AM015700,MIDA PUNE POVERTY ALLV                                                                              
Assam Meghalaya,Shri Anup Kumar Thakur,1985,1,01AM015600,POLICY PLG & ATIR ANAL                                                                              
Assam Meghalaya,Shri Anup Kumar Thakur,1985,2,01AM015600,IIPA ND  COMPUTERS                                                                                  
Assam Meghalaya,Shri Anup Kumar Thakur,1986,1,01AM015600,"IIMB,DEVLOP.BANKING                                                                                 "
Assam Meghalaya,Shri Anup Kumar Thakur,1987,4,01AM015600,"HPIPA,PROG.IMPLEMENTAT                                                                              "
Assam Meghalaya,Shri Anup Kumar Thakur,1990,1,01AM015600,"ASCI,HYD MGT LEVEL PRJ                                                                              "
Assam Meghalaya,Shri Anup Kumar Thakur,1993,1,01AM015600,"ASCI,HYD PROJ MGT ADVN                                                                              "
Assam Meghalaya,Shri Anup Kumar Thakur,1993,1,01AM015600,POWER PARTICIPATIO                                                                                  
Assam Meghalaya,Shri Anup Kumar Thakur,1999,2,01AM015600,"LBSNAA, SR LEVEL PROG                                                                               "
Assam Meghalaya,Shri P B O Warjri,1985,1,01AM014901,MH INST DEV STUDIES                                                                                 
Assam Meghalaya,Shri P B O Warjri,1986,4,01AM014901,TRAINING                                                                                            
Assam Meghalaya,Shri Suresh Chandra Panda,2003,36,01AM017100,Master Diploma in Public Admn                                                                       
Assam Meghalaya,Shri Suresh Chandra Panda,2007,1,01AM017100,IIM Banglore                                                                                        
Assam Meghalaya,Shri Anoop Kumar Srivastava,1986,1,01AM017000,"IPE HYD,MGT.CONC.& DMT                                                                              "
Assam Meghalaya,Shri Anoop Kumar Srivastava,1987,1,01AM017000,"ATI,RANCHI                                                                                          "
Assam Meghalaya,Shri Anoop Kumar Srivastava,1987,1,01AM017000,"IIFT,ND;ORI.PRO.I.B.M                                                                               "
Assam Meghalaya,Shri Anoop Kumar Srivastava,1987,1,01AM017000,"ASCI,BV,HYD,STRG.MGT.                                                                               "
Assam Meghalaya,Shri Anoop Kumar Srivastava,1988,4,01AM017000,"ATI,NAINITAL                                                                                        "
Assam Meghalaya,Shri Anoop Kumar Srivastava,1989,1,01AM017000,"NIC,ND,MIS&COMP.APPL.                                                                               "
Assam Meghalaya,Shri Anoop Kumar Srivastava,1994,2,01AM017000,LBSNAAM;LIBERAL.H.FACE                                                                              
Assam Meghalaya,Shri Anoop Kumar Srivastava,1996,1,01AM017000,"NIC,ND;COMPUTER APPLIC                                                                              "
Assam Meghalaya,Shri Subhash Chandra Das,1985,1,01AM016800,Policy Planning& Analysis                                                                           
Assam Meghalaya,Shri Subhash Chandra Das,1986,1,01AM016800,"MIS & Computer Appliction In Govt, Level-I                                                          "
Assam Meghalaya,Shri Subhash Chandra Das,1987,1,01AM016800,Urban Dev                                                                                           
Assam Meghalaya,Shri Subhash Chandra Das,1989,4,01AM016800,Junior Leval                                                                                        
Assam Meghalaya,Shri Subhash Chandra Das,1998,1,01AM016800,Financial Sector Reforms                                                                            
Assam Meghalaya,Shri Subhash Chandra Das,2000,2,01AM016800,Senior Leval                                                                                        
Assam Meghalaya,Shri Subhash Chandra Das,2005,1,01AM016800,Strstegic Leadership for policy makers                                                              
Assam Meghalaya,Shri Subhash Chandra Das,2008,4,01AM016800,Governance Challenges for India                                                                     
Assam Meghalaya,Shri Kamal Kant Mittal,1987,1,01AM018100,FISCAL POLICY                                                                                       
Assam Meghalaya,Shri Kamal Kant Mittal,1988,1,01AM018100,COMPUTER TRG NIC                                                                                    
Assam Meghalaya,Shri Kamal Kant Mittal,1989,1,01AM018100,NL INST OF HEALTH&FW                                                                                
Assam Meghalaya,Shri Kamal Kant Mittal,1994,3,01AM018100,LBSNAA MUSSOORIE                                                                                    
Assam Meghalaya,Shri Kuljit Singh Kropha,1986,1,01AM018000,MGT CONCEPTS &DECISION                                                                              
Assam Meghalaya,Shri Kuljit Singh Kropha,1987,1,01AM018000,PRODUCTIVITY IN GOVT.                                                                               
Assam Meghalaya,Shri Kuljit Singh Kropha,1987,1,01AM018000,INTNL BUSINESS MGT                                                                                  
Assam Meghalaya,Shri Kuljit Singh Kropha,1988,1,01AM018000,DM-SP WORLSHOP                                                                                      
Assam Meghalaya,Shri Kuljit Singh Kropha,1989,1,01AM018000,AGR & RURAL DEVELOPMT                                                                               
Assam Meghalaya,Shri Kuljit Singh Kropha,1990,1,01AM018000,JR LEVEL MGT TRAINING                                                                               
Assam Meghalaya,Shri Kuljit Singh Kropha,1993,1,01AM018000,ENERGY & DEVELOPMENT                                                                                
Assam Meghalaya,Shri Kuljit Singh Kropha,1996,1,01AM018000,MID TERM REVIEW REFORM                                                                              
Assam Meghalaya,Shri Kuljit Singh Kropha,1999,1,01AM018000,HEALTH POLICY PLG&MGT                                                                               
Assam Meghalaya,Shri Kuljit Singh Kropha,2002,47,01AM018000,NL DEFENCE COLLEGE ND                                                                               
Assam Meghalaya,Shri V B Pyarelal,2003,36,01AM018300,PUBLIC ADMN                                                                                         
Assam Meghalaya,Shri Alok Kumar,2005,39,01AM018900,31st APPPA COURSE                                                                                   
Assam Meghalaya,Shri Davinder Kumar,1988,1,01AM019000,"SVPNPA,HYD TERRORISM                                                                                "
Assam Meghalaya,Shri Davinder Kumar,1989,1,01AM019000,"CMC,MIS&COMPT. APPL LV                                                                              "
Assam Meghalaya,Shri Davinder Kumar,1991,3,01AM019000,"HCM RSIPA,JAIPUR JR.LV                                                                              "
Assam Meghalaya,Shri Davinder Kumar,2000,2,01AM019000,"UPAA,NAINITAL MIDDLE                                                                                "
Assam Meghalaya,Shri Davinder Kumar,2001,1,01AM019000,"U/NL LAW SCHOOLB,ADMN                                                                               "
Assam Meghalaya,Shri Davinder Kumar,2002,2,01AM019000,"NIC,N.D COMPUT&INTERNT                                                                              "
Assam Meghalaya,Shri Davinder Kumar,2003,1,01AM019000,"NIC,COMPUTER&INTERNET                                                                               "
Assam Meghalaya,Shri Davinder Kumar,2003,1,01AM019000,"IDSA,N.D ORIENTON NL S                                                                              "
Assam Meghalaya,Shri Davinder Kumar,2003,2,01AM019000,CIVIL -MILITRY INTERFACE                                                                            
Assam Meghalaya,Shri Davinder Kumar,2005,48,01AM019000,NL SECURITY & STRATEGIC                                                                             
Assam Meghalaya,Shri Davinder Kumar,2006,1,01AM019000,ADVANCE COURSE ON WJO                                                                               
Assam Meghalaya,Shri Jagdish Prasad Meena,2005,39,01AM018700,31st APPPA Course                                                                                   
Assam Meghalaya,Shri K V Eapen,1989,1,01AM019400,INTNL. TRADE                                                                                        
Assam Meghalaya,Shri K V Eapen,1991,3,01AM019400,JUNIOR LEVEL TRG                                                                                    
Assam Meghalaya,Shri K V Eapen,1993,58,01AM019400,MDI GURGAON NL MGT PRO                                                                              
Assam Meghalaya,Shri K V Eapen,1995,3,01AM019400,MIDDLE LEVEL TRG                                                                                    
Assam Meghalaya,Shri K V Eapen,1999,1,01AM019400,MS 97&INTERNET APPLIC.                                                                              
Assam Meghalaya,Shri K V Eapen,2001,1,01AM019400,ADVANCE COURSE WTO                                                                                  
Assam Meghalaya,Shri K V Eapen,2002,1,01AM019400,ADVANCECOURSE WTO                                                                                   
Assam Meghalaya,Shri K V Eapen,2005,1,01AM019400,Infrastructure Dev & Financing                                                                      
Assam Meghalaya,Shri Ajay Kumar Bhalla,1993,3,01AM019100,"LBSNAA,MUSSOORIE PUB                                                                                "
Assam Meghalaya,Shri Ajay Kumar Bhalla,1998,2,01AM019100,"UPAA,NAINITAL MIDDLE                                                                                "
Assam Meghalaya,Shri Ajay Kumar Bhalla,2007,39,01AM019100,33rd APPPA                                                                                          
Assam Meghalaya,Shri Shyam Lal Mewara,1990,1,01AM019200,TERI DELHI TATA ENERGY                                                                              
Assam Meghalaya,Shri Shyam Lal Mewara,1991,3,01AM019200,SPIPA AHEMDABAD                                                                                     
Assam Meghalaya,Shri Rajiv Kumar Bora,1989,1,01AM019700,DEVP.ADMINISTRATION                                                                                 
Assam Meghalaya,Shri Rajiv Kumar Bora,1992,3,01AM019700,JR.LEVEL PROGRAMME                                                                                  
Assam Meghalaya,Shri Rajiv Kumar Bora,2000,2,01AM019700,MIDDLE LEVEL TRG                                                                                    
Assam Meghalaya,Shri Rajiv Kumar Bora,2005,2,01AM019700,IN SERVICE TRG PROG                                                                                 
Assam Meghalaya,Shri Rajiv Kumar Bora,2005,2,01AM019700,PROG.ON NL SECURITY                                                                                 
Assam Meghalaya,Shri Prashant Naik,1998,3,01AM019300,Management in Govt.                                                                                 
Assam Meghalaya,Shri Saraswati Prasad,1990,1,01AM020000,"IIM,CALCUTTA PUB.ENTER                                                                              "
Assam Meghalaya,Shri Saraswati Prasad,1994,3,01AM020000,"AASC,GUWAHATI TRG.IAS                                                                               "
Assam Meghalaya,Shri Saraswati Prasad,2000,1,01AM020000,"IIFT,N.D WTO&TRADE REG                                                                              "
Assam Meghalaya,Shri Saraswati Prasad,2000,1,01AM020000,"AASC,GUWAHATI COMPUTER                                                                              "
Assam Meghalaya,Shri Saraswati Prasad,2004,48,01AM020000,NL.DEF.C N.D DEF/SECTY                                                                              
Assam Meghalaya,Shri V S Bhaskar,1990,1,01AM019800,ADMN.URBAN AREAS                                                                                    
Assam Meghalaya,Shri V S Bhaskar,1992,3,01AM019800,PUBLIC ADMN                                                                                         
Assam Meghalaya,Shri V S Bhaskar,2001,2,01AM019800,GOVERNANCE MILLENNIUM                                                                               
Assam Meghalaya,Dr. Shreeranjan,1989,1,01AM020100,MIS COMPUTER APPLICTN                                                                               
Assam Meghalaya,Dr. Shreeranjan,1992,1,01AM020100,NL INST MKTG MGT PUNE                                                                               
Assam Meghalaya,Dr. Shreeranjan,1994,1,01AM020100,ASC GUWAHATI                                                                                        
Assam Meghalaya,Dr. Shreeranjan,1995,1,01AM020100,ASC GUWAHATI                                                                                        
Assam Meghalaya,Shri Hector Marwein,1994,3,01AM020400,ASSAM ADMN STAFF CL                                                                                 
Assam Meghalaya,Shri Kumar Sanjay Krishna,1989,1,01AM020500,MIS & Comp. Applications                                                                            
Assam Meghalaya,Shri Kumar Sanjay Krishna,1993,3,01AM020500,Refresher Course for IAS                                                                            
Assam Meghalaya,Shri Kumar Sanjay Krishna,1997,1,01AM020500,Restucturing of Indian Economy                                                                      
Assam Meghalaya,Shri Kumar Sanjay Krishna,1999,2,01AM020500,Genl.Mgt.of Public Policy                                                                           
Assam Meghalaya,Shri Kumar Sanjay Krishna,2000,1,01AM020500,M.D.P.on WTO and the New Trade Regime                                                               
Assam Meghalaya,Shri Kumar Sanjay Krishna,2008,1,01AM020500,Quantitative & Operational Methods in Public Policy                                                 
Assam Meghalaya,Shri Nandan Singh Samant,1992,6,01AM020700,IIPA NEW DELHI                                                                                      
Assam Meghalaya,Shri Nandan Singh Samant,1994,3,01AM020700,ATI MYSORE                                                                                          
Assam Meghalaya,Shri Nandan Singh Samant,1995,2,01AM020700,ISA MOUNT ABU                                                                                       
Assam Meghalaya,Shri Nandan Singh Samant,1998,1,01AM020700,IIM BANGALORE                                                                                       
Assam Meghalaya,Shri Nandan Singh Samant,2003,48,01AM020700,NL.DEF.COLLEGE N.DELHI                                                                              
Assam Meghalaya,Shri Sanjeeva Kumar,1994,1,01AM020600,DISASTER MANAGEMENT                                                                                 
Assam Meghalaya,Shri Sanjeeva Kumar,1995,3,01AM020600,ATI NAINITAL                                                                                        
Assam Meghalaya,Shri Ravi Capoor,1996,3,01AM020800,ATI NAINITAL                                                                                        
Assam Meghalaya,Shri Ravi Capoor,2004,48,01AM020800,NL.DEF.C N.D DEF/SECTY                                                                              
Assam Meghalaya,Dr. Ajay Kumar Singh,2005,2,01AM021400,Trg in Project Mgt                                                                                  
Assam Meghalaya,Shri K Narayana Kumar,1992,2,01AM021700,NIRD HYD                                                                                            
Assam Meghalaya,Shri K Narayana Kumar,1993,1,01AM021700,ASC HYD                                                                                             
Assam Meghalaya,Shri K Narayana Kumar,1996,1,01AM021700,TERI GOA                                                                                            
Assam Meghalaya,Shri K Narayana Kumar,1997,4,01AM021700,LBSNAA MUSSOORIE                                                                                    
Assam Meghalaya,Shri Praveen Kumar Srivastava,1995,3,01AM022300,AASC GUWAHATI                                                                                       
Assam Meghalaya,Shri Praveen Kumar Srivastava,2000,1,01AM022300,IIFT ND WTO&NEW TRADE                                                                               
Assam Meghalaya,Shri Maninder Singh,2009,1,01AM022400,Training programme in IIM Banglore                                                                  
