Subject,Count,Category
Economics,1815,Social Science and Liberal Arts
Law,956,"Governance, Law and Management"
History,930,Social Science and Liberal Arts
Political Sc.,903,Social Science and Liberal Arts
English,884,Languages and Fine Arts
Physics,867,Natural Sciences
English Lit,425,Languages and Fine Arts
Commerce,390,Finance
Mathematics,379,"Engineering, Technology and Mathematics"
Chemistry,354,Natural Sciences
Public Admn,303,"Governance, Law and Management"
Electrical Engg.,285,"Engineering, Technology and Mathematics"
Business Admn.,282,"Governance, Law and Management"
Mech.engg.,264,"Engineering, Technology and Mathematics"
Civil Engg,220,"Engineering, Technology and Mathematics"
Medicine,213,Medical
Geography,190,Social Science and Liberal Arts
Botany,186,Natural Sciences
Electronics,178,"Engineering, Technology and Mathematics"
Zoology,174,Natural Sciences
Management,169,"Engineering, Technology and Mathematics"
Sociology,146,Social Science and Liberal Arts
Agriculture,145,Others
Philosophy,143,Social Science and Liberal Arts
Computer Sc,127,"Engineering, Technology and Mathematics"
Hindi,120,Languages and Fine Arts
Geology,118,Natural Sciences
Public Policy,100,"Governance, Law and Management"
Finance,88,Finance
French,87,Languages and Fine Arts
Psychology,82,Social Science and Liberal Arts
Science,68,Natural Sciences
Statistics,68,"Engineering, Technology and Mathematics"
Accountancy,68,Finance
Chemical Engg,66,"Engineering, Technology and Mathematics"
Education,64,Others
Social Sciences,60,Social Science and Liberal Arts
German,55,Languages and Fine Arts
Agri.,52,Others
Hons,52,Others
Sanskrit,51,Languages and Fine Arts
Art,50,Languages and Fine Arts
Electronics and Communication,47,"Engineering, Technology and Mathematics"
Development Economics,45,Social Science and Liberal Arts
Veterinary Sc.,40,Medical
Marketing,35,"Governance, Law and Management"
Dev Adm,35,"Governance, Law and Management"
Rural Dev,32,"Governance, Law and Management"
Public Management,30,"Governance, Law and Management"
Journalism,30,Social Science and Liberal Arts
Bio-Technology,29,"Engineering, Technology and Mathematics"
Pers.Mgt.,29,"Governance, Law and Management"
Anthropology,28,Social Science and Liberal Arts
Russian,27,Languages and Fine Arts
Indl Engg.,24,"Engineering, Technology and Mathematics"
Intnl Trade.,24,"Governance, Law and Management"
Intnl Relations,24,"Governance, Law and Management"
Fincl Mgt,23,"Governance, Law and Management"
Business Mgt,23,"Governance, Law and Management"
Mechanical,23,"Engineering, Technology and Mathematics"
Engineeriing,23,"Engineering, Technology and Mathematics"
Cost Acct,22,Finance
Social Work,22,Social Science and Liberal Arts
Animal Husby,22,Others
Modern Ind.Hist,22,Social Science and Liberal Arts
Dev Studies,22,Social Science and Liberal Arts
History (hons),20,Social Science and Liberal Arts
Electronics Engg,19,"Engineering, Technology and Mathematics"
Bio Chemistry,19,Natural Sciences
Human Res Mngmt,18,"Governance, Law and Management"
Environmental Science,18,Natural Sciences
Economic Dev.,18,Social Science and Liberal Arts
Surgery,17,Medical
Poltics,17,Social Science and Liberal Arts
Prodn.Engg.,17,"Engineering, Technology and Mathematics"
Medicine Surgery,16,Medical
Urban Planning,16,"Governance, Law and Management"
Forestry,16,Others
Intnl.law,16,"Governance, Law and Management"
Intrnl Business,15,"Governance, Law and Management"
Agronomy,15,Natural Sciences
Biology,15,Natural Sciences
Public Policy & Mgmt,15,"Governance, Law and Management"
Genetics,15,Natural Sciences
Cooperation,15,"Governance, Law and Management"
Banking,14,Finance
Intnl Studies,14,Social Science and Liberal Arts
Mech. Engg.,14,"Engineering, Technology and Mathematics"
Public Mgmt & Policy,14,"Governance, Law and Management"
Physics (hons),14,Natural Sciences
Ancient History,14,Social Science and Liberal Arts
Mining.Engg.,14,"Engineering, Technology and Mathematics"
Intnl Politics,13,Social Science and Liberal Arts
Instrumentation,13,"Engineering, Technology and Mathematics"
