Item,Count
N.A.-----Land Revenue Mgmt & District Admn,1572
N.A.-----N.A.,939
N.A.-----N.Applicable,836
N.A.-----Finance,443
N.A.-----Personnel and General Administration,437
Economics|Economics-----Land Revenue Mgmt & District Admn,389
N.A.-----Agriculture & Cooperation,342
N.A.-----Urban Development,336
N.A.-----,326
Economics-----Land Revenue Mgmt & District Admn,297
N.A.-----Human Resource Dev,274
Physics|Physics-----Land Revenue Mgmt & District Admn,263
History|History-----Land Revenue Mgmt & District Admn,257
English-----Land Revenue Mgmt & District Admn,248
Economics|Economics-----Finance,244
Political Sc.|Political Sc.-----Land Revenue Mgmt & District Admn,234
N.A.-----Social Justice & Empowerment,231
Electrical Engg.-----Land Revenue Mgmt & District Admn,223
N.A.-----Home,217
Mech.engg.-----Land Revenue Mgmt & District Admn,206
Medicine-----Land Revenue Mgmt & District Admn,203
N.A.-----Industries,192
Economics|Economics-----Personnel and General Administration,186
Civil Engg-----Land Revenue Mgmt & District Admn,185
"N.A.-----Consumer Affairs, Food & PD",170
Electronics-----Land Revenue Mgmt & District Admn,168
N.A.-----Health & Family Welfare,160
History-----Land Revenue Mgmt & District Admn,158
N.A.-----Rural Dev,153
Physics-----Land Revenue Mgmt & District Admn,149
English|English-----Land Revenue Mgmt & District Admn,145
|-----N.A.,137
Economics|Economics-----Agriculture & Cooperation,134
History|History-----Finance,132
Political Sc.-----Land Revenue Mgmt & District Admn,130
N.A.-----Local Self Govt,127
Economics|Economics-----Industries,122
History|History-----Personnel and General Administration,121
N.A.-----Labour & Employment,119
Physics|Physics-----Personnel and General Administration,112
Economics-----Finance,110
N.A.-----Transport,110
Economics|Law-----Land Revenue Mgmt & District Admn,106
Economics|Economics-----N.Applicable,106
Political Sc.|Political Sc.-----Finance,104
Economics-----Personnel and General Administration,103
Political Sc.|Political Sc.-----Personnel and General Administration,103
Physics|Physics-----Finance,96
Physics|Physics-----Agriculture & Cooperation,95
History|History-----Agriculture & Cooperation,94
Commerce-----Land Revenue Mgmt & District Admn,92
Commerce|Commerce-----Land Revenue Mgmt & District Admn,90
Economics-----Agriculture & Cooperation,90
Economics|Economics-----Home,89
English Lit|English Lit-----Land Revenue Mgmt & District Admn,87
English|English-----Finance,86
English-----Finance,85
N.A.-----Planning & Prog Implementation,85
English|English-----Personnel and General Administration,84
Physics|Physics-----Industries,81
N.A.-----Water Resources,80
Computer Sc-----Land Revenue Mgmt & District Admn,80
English-----Personnel and General Administration,79
Economics|Economics-----Urban Development,79
Chemistry|Chemistry-----Land Revenue Mgmt & District Admn,79
History|Political Sc.-----Land Revenue Mgmt & District Admn,77
Economics|Law|Economics-----Land Revenue Mgmt & District Admn,74
Electrical Engg.-----N.Applicable,74
History|History-----Industries,71
Medicine-----N.Applicable,71
History|History-----N.Applicable,68
English-----Agriculture & Cooperation,67
N.A.-----Law & Justice,67
English|Political Sc.-----Land Revenue Mgmt & District Admn,66
N.A.-----Information & Broadcasting,64
Mech.engg.-----Finance,63
English|Law-----Land Revenue Mgmt & District Admn,61
Physics|Physics-----N.Applicable,61
Political Sc.|Political Sc.-----Agriculture & Cooperation,61
Geography|Geography-----Land Revenue Mgmt & District Admn,61
N.A.-----Mines & Minerals,61
English-----Urban Development,60
N.A.-----ST Welfare,60
Economics|Economics-----Transport,59
English Lit-----Land Revenue Mgmt & District Admn,58
Physics-----Personnel and General Administration,58
History|History-----Home,58
English Lit|English Lit-----Finance,57
N.A.-----Energy,57
Economics-----Urban Development,57
History|History-----Human Resource Dev,56
Physics|Physics-----Urban Development,56
Physics|Mathematics-----Land Revenue Mgmt & District Admn,56
Mathematics-----Land Revenue Mgmt & District Admn,55
English|English-----Agriculture & Cooperation,55
Mech.engg.-----N.Applicable,55
History-----Finance,54
Medicine-----Urban Development,54
Political Sc.|Political Sc.-----Industries,53
"Economics|Economics-----Consumer Affairs, Food & PD",53
History|History-----Urban Development,53
History-----Personnel and General Administration,53
Economics|Economics-----Rural Dev,53
Economics|Economics-----Human Resource Dev,52
Mathematics|Mathematics-----Land Revenue Mgmt & District Admn,52
English-----Home,51
Political Sc.-----Personnel and General Administration,51
English-----Industries,51
Political Sc.-----Finance,51
Mech.engg.-----Personnel and General Administration,50
Botany|Botany-----Land Revenue Mgmt & District Admn,50
N.A.-----Tourism,50
Commerce-----Finance,50
"Economics-----Consumer Affairs, Food & PD",49
Mech.engg.-----Industries,49
Physics|Physics-----Human Resource Dev,49
Law|Political Sc.-----Land Revenue Mgmt & District Admn,48
Economics-----Social Justice & Empowerment,48
Economics-----Industries,48
Economics|Economics-----Planning & Prog Implementation,47
Commerce|Law-----Land Revenue Mgmt & District Admn,46
N.A.-----Environment & Forests,46
Economics-----N.Applicable,45
English-----N.Applicable,44
English|English-----Industries,44
Economics|Economics-----Health & Family Welfare,43
Chemical Engg-----Land Revenue Mgmt & District Admn,43
Chemistry-----Land Revenue Mgmt & District Admn,42
N.A.-----Youth Affairs & Sports,42
Political Sc.|Political Sc.-----Home,42
Chemistry|Chemistry-----Finance,42
Chemistry|Chemistry-----Personnel and General Administration,42
Economics|Law-----Finance,42
Law-----Land Revenue Mgmt & District Admn,42
Physics|Physics-----Home,42
English|Economics-----Land Revenue Mgmt & District Admn,42
N.A.-----Women & Child Dev,42
Mathematics|Mathematics-----Personnel and General Administration,41
Economics-----Home,41
Economics|Economics-----Energy,41
English-----Social Justice & Empowerment,40
Electrical Engg.-----Finance,40
Mathematics|Mathematics-----Finance,40
English-----Human Resource Dev,40
Political Sc.|Political Sc.-----Human Resource Dev,40
Political Sc.|Political Sc.-----Social Justice & Empowerment,40
Economics-----Rural Dev,39
N.A.-----Culture,39
Electrical Engg.-----Urban Development,39
"History|History-----Consumer Affairs, Food & PD",39
Political Sc.-----Agriculture & Cooperation,39
Economics|Law|Economics-----Finance,39
Physics|Mathematics-----Personnel and General Administration,39
Economics-----Planning & Prog Implementation,38
Mech.engg.-----Urban Development,38
Medicine-----Health & Family Welfare,38
Political Sc.|Political Sc.-----Urban Development,38
Economics|Economics-----Commerce,38
Economics|Political Sc.-----Land Revenue Mgmt & District Admn,38
English Lit|English Lit-----Personnel and General Administration,37
Economics|Economics-----Social Justice & Empowerment,37
History-----Agriculture & Cooperation,37
N.A.-----Commerce,37
Physics-----Agriculture & Cooperation,37
|Electrical Engg.-----N.A.,37
Medicine-----Personnel and General Administration,37
Political Sc.|Political Sc.-----N.Applicable,36
Physics-----Finance,36
Economics|Law-----Industries,36
Political Sc.-----Industries,36
Mech.engg.-----Agriculture & Cooperation,36
History|Law-----Land Revenue Mgmt & District Admn,36
History|History-----Rural Dev,36
Physics-----N.Applicable,35
"Physics|Physics-----Consumer Affairs, Food & PD",35
English Lit|English Lit-----Agriculture & Cooperation,35
Medicine-----,35
Electrical Engg.-----Personnel and General Administration,35
N.A.-----Public Works,35
English|English-----N.Applicable,35
Medicine-----Finance,35
Civil Engg-----N.Applicable,34
Economics-----Transport,34
"English-----Consumer Affairs, Food & PD",34
Agriculture-----Land Revenue Mgmt & District Admn,34
History-----N.Applicable,34
Economics|Economics-----Mines & Minerals,33
Civil Engg-----Finance,33
Physics|Physics-----Transport,33
Physics-----Urban Development,33
Chemistry|Chemistry-----Agriculture & Cooperation,33
Geology|Geology-----Land Revenue Mgmt & District Admn,33
Civil Engg-----Urban Development,32
English-----Health & Family Welfare,32
History|History-----Planning & Prog Implementation,32
English|English-----Human Resource Dev,32
Physics|Physics-----Energy,32
|Civil Engg-----N.A.,32
Economics|Law|Economics-----Personnel and General Administration,32
Hons-----N.A.,32
Economics|Economics|Economics-----Land Revenue Mgmt & District Admn,32
Economics|History-----Land Revenue Mgmt & District Admn,32
Electrical Engg.|Electrical Engg.-----Land Revenue Mgmt & District Admn,32
|Mech. Engg.-----N.A.,32
Economics-----Human Resource Dev,32
History-----Industries,31
History|History-----Health & Family Welfare,31
Economics-----N.A.,31
Physics|Mathematics-----Finance,31
English Lit|English Lit-----Industries,31
Commerce|Commerce-----Personnel and General Administration,31
English|English Lit-----Land Revenue Mgmt & District Admn,30
Physics|Physics-----Rural Dev,30
Commerce|Commerce-----Finance,30
English|Law-----Personnel and General Administration,29
Commerce|Law-----Personnel and General Administration,29
Chemistry|Chemistry-----Urban Development,29
History|Economics-----Land Revenue Mgmt & District Admn,29
Physics|Physics-----Social Justice & Empowerment,29
English|English-----Home,29
English|Political Sc.-----Finance,29
English-----Transport,29
Electronics-----N.Applicable,29
Computer Sc-----N.Applicable,29
Physics|Physics-----Planning & Prog Implementation,29
Political Sc.|Political Sc.-----Health & Family Welfare,29
Economics|Economics-----Labour & Employment,29
Political Sc.-----Human Resource Dev,28
Chemistry|Chemistry-----Industries,28
English Lit|Economics-----Land Revenue Mgmt & District Admn,28
Electrical Engg.-----,28
Commerce-----Personnel and General Administration,28
Law|Physics-----Land Revenue Mgmt & District Admn,28
English Lit|Political Sc.-----Land Revenue Mgmt & District Admn,28
English|History-----Land Revenue Mgmt & District Admn,28
English Lit|History-----Land Revenue Mgmt & District Admn,28
Commerce|Commerce-----Agriculture & Cooperation,27
Mech.engg.-----Energy,27
History|History-----Social Justice & Empowerment,27
"English|English-----Consumer Affairs, Food & PD",27
N.A.-----Service Commn,27
History-----Urban Development,27
Economics|Law-----Personnel and General Administration,27
Civil Engg-----Personnel and General Administration,27
Electrical Engg.-----Human Resource Dev,27
Physics|Chemistry-----Land Revenue Mgmt & District Admn,26
English|Law-----Finance,26
English|Political Sc.-----Personnel and General Administration,26
Economics-----Health & Family Welfare,26
Hindi-----Land Revenue Mgmt & District Admn,26
Commerce|Law|Commerce-----Land Revenue Mgmt & District Admn,26
Civil Engg-----Industries,26
N.A.-----Staff Officers,26
Electrical Engg.-----Industries,26
Economics|Economics-----,26
Economics|Law|Economics-----Agriculture & Cooperation,25
Electronics-----N.A.,25
Agriculture|Agriculture-----Land Revenue Mgmt & District Admn,25
Computer Sc-----,25
Chemistry|Chemistry-----N.Applicable,25
Political Sc.|Political Sc.|Political Sc.-----Land Revenue Mgmt & District Admn,25
Chemical Engg-----N.Applicable,25
History-----Social Justice & Empowerment,25
Civil Engg-----Rural Dev,25
History|History-----Energy,25
Electronics-----Urban Development,25
Physics|Physics-----Water Resources,25
History|History-----Transport,24
History|History-----Commerce,24
English|Law-----Urban Development,24
Economics|Economics-----Environment & Forests,24
Zoology-----Land Revenue Mgmt & District Admn,24
English|Economics-----Agriculture & Cooperation,24
Botany-----Land Revenue Mgmt & District Admn,24
