Item,Count,Field,Subject
,1577,Land Revenue Mgmt & District Admn,N.A.
,939,N.A.,N.A.
,836,N.Applicable,N.A.
,721,Land Revenue Mgmt & District Admn,Economics
,445,Finance,N.A.
,439,Personnel and General Administration,N.A.
,421,Land Revenue Mgmt & District Admn,History
,418,Land Revenue Mgmt & District Admn,Physics
,399,Land Revenue Mgmt & District Admn,English
,391,Land Revenue Mgmt & District Admn,Political Sc.
,380,Finance,Economics
,342,Agriculture & Cooperation,N.A.
,341,Urban Development,N.A.
,327,,N.A.
,313,Personnel and General Administration,Economics
,275,Human Resource Dev,N.A.
,255,Land Revenue Mgmt & District Admn,Electrical Engg.
,231,Social Justice & Empowerment,N.A.
,228,Agriculture & Cooperation,Economics
,221,Land Revenue Mgmt & District Admn,Mech.engg.
,218,Home,N.A.
,215,Land Revenue Mgmt & District Admn,Medicine
,210,Land Revenue Mgmt & District Admn,Economics|Law
,207,Land Revenue Mgmt & District Admn,Civil Engg
,194,Industries,N.A.
,187,Finance,History
,187,Land Revenue Mgmt & District Admn,Commerce
,180,Industries,Economics
,175,Personnel and General Administration,History
,173,Finance,English
,172,Personnel and General Administration,Physics
,170,"Consumer Affairs, Food & PD",N.A.
,169,Personnel and General Administration,Political Sc.
,168,Land Revenue Mgmt & District Admn,Electronics
,164,Personnel and General Administration,English
,163,Finance,Political Sc.
,160,Health & Family Welfare,N.A.
,160,N.Applicable,Economics
,153,Rural Dev,N.A.
,150,N.A.,
,150,Land Revenue Mgmt & District Admn,English Lit
,143,Urban Development,Economics
,136,Home,Economics
,135,Finance,Physics
,132,Agriculture & Cooperation,Physics
,131,Agriculture & Cooperation,History
,129,Local Self Govt,N.A.
,127,Land Revenue Mgmt & District Admn,Chemistry
,126,Agriculture & Cooperation,English
,120,Labour & Employment,N.A.
,112,Transport,N.A.
,111,Land Revenue Mgmt & District Admn,Mathematics
,110,"Consumer Affairs, Food & PD",Economics
,109,Agriculture & Cooperation,Political Sc.
,103,Industries,History
,102,Industries,Physics
,102,N.Applicable,History
,98,Finance,Economics|Law
,98,Transport,Economics
,97,Industries,Political Sc.
,96,Industries,English
,96,N.Applicable,Physics
,95,Planning & Prog Implementation,Economics
,95,Rural Dev,Economics
,92,Human Resource Dev,Economics
,91,Land Revenue Mgmt & District Admn,Geography
,90,Urban Development,Physics
,90,Land Revenue Mgmt & District Admn,History|Political Sc.
,89,Social Justice & Empowerment,Economics
,88,Land Revenue Mgmt & District Admn,Computer Sc
,85,Planning & Prog Implementation,N.A.
,84,Land Revenue Mgmt & District Admn,Law|Commerce
,84,Urban Development,English
,83,Land Revenue Mgmt & District Admn,Law|English
,83,Land Revenue Mgmt & District Admn,Law|Political Sc.
,82,Home,English
,81,Urban Development,History
,81,N.Applicable,English
,81,Home,History
,81,Finance,Commerce
,80,Water Resources,N.A.
,80,Land Revenue Mgmt & District Admn,English|Political Sc.
,80,Finance,English Lit
,78,N.Applicable,Electrical Engg.
,76,Personnel and General Administration,Economics|Law
,75,Human Resource Dev,History
,74,Land Revenue Mgmt & District Admn,Botany
,74,N.Applicable,Medicine
,73,Land Revenue Mgmt & District Admn,Agriculture
,73,Health & Family Welfare,Economics
,73,Human Resource Dev,Political Sc.
,72,Human Resource Dev,Physics
,72,Human Resource Dev,English
,70,Land Revenue Mgmt & District Admn,Economics|History
,69,Law & Justice,N.A.
,69,Land Revenue Mgmt & District Admn,Mathematics|Physics
,68,Finance,Chemistry
,67,Land Revenue Mgmt & District Admn,Law|Physics
,67,Finance,Mech.engg.
,67,N.Applicable,Political Sc.
,65,Land Revenue Mgmt & District Admn,Economics|English
,64,Social Justice & Empowerment,Political Sc.
,64,Energy,Economics
,64,Information & Broadcasting,N.A.
,64,N.Applicable,Mech.engg.
,62,Land Revenue Mgmt & District Admn,Law|History
,62,Home,Physics
,62,Mines & Minerals,N.A.
,61,Personnel and General Administration,Commerce
,61,"Consumer Affairs, Food & PD",English
,61,Personnel and General Administration,Mathematics
,61,Social Justice & Empowerment,English
,60,ST Welfare,N.A.
,60,Urban Development,Political Sc.
,60,Personnel and General Administration,Chemistry
,59,Home,Political Sc.
,58,"Consumer Affairs, Food & PD",History
,58,Personnel and General Administration,Mech.engg.
,58,Finance,Electrical Engg.
,58,Finance,Mathematics
,58,Industries,Economics|Law
,57,Energy,N.A.
,57,Personnel and General Administration,English Lit
,56,Land Revenue Mgmt & District Admn,Economics|Political Sc.
,55,Land Revenue Mgmt & District Admn,Zoology
,54,Urban Development,Medicine
,53,Rural Dev,History
,53,Agriculture & Cooperation,Economics|Law
,52,Social Justice & Empowerment,History
,51,Labour & Employment,Economics
,51,Land Revenue Mgmt & District Admn,Chemical Engg
,51,Urban Development,Economics|Law
,51,Tourism,N.A.
,50,Land Revenue Mgmt & District Admn,Geology
,50,Commerce,Economics
,50,Industries,Mech.engg.
,50,Health & Family Welfare,History
,49,Agriculture & Cooperation,English Lit
,49,Transport,English
,48,Rural Dev,Physics
,47,Agriculture & Cooperation,Commerce
,47,Land Revenue Mgmt & District Admn,Law
,47,Land Revenue Mgmt & District Admn,English|English Lit
,47,Environment & Forests,N.A.
,47,"Consumer Affairs, Food & PD",Physics
,47,Rural Dev,Political Sc.
,46,N.A.,|Electrical Engg.
,46,Planning & Prog Implementation,English
,45,Personnel and General Administration,Mathematics|Physics
,45,Agriculture & Cooperation,Chemistry
,45,Land Revenue Mgmt & District Admn,English|History
,45,Energy,Physics
,45,N.A.,|Mech. Engg.
,45,Transport,Physics
,45,Health & Family Welfare,English
,44,Health & Family Welfare,Medicine
,44,Social Justice & Empowerment,Physics
,43,Mines & Minerals,Economics
,43,Planning & Prog Implementation,Physics
,43,Urban Development,Electrical Engg.
,43,Industries,English Lit
,43,Women & Child Dev,N.A.
,43,Planning & Prog Implementation,History
,43,Personnel and General Administration,Law|Commerce
,43,Health & Family Welfare,Political Sc.
,43,Land Revenue Mgmt & District Admn,English Lit|History
,42,Land Revenue Mgmt & District Admn,Economics|English Lit
,42,Youth Affairs & Sports,N.A.
,42,Finance,Law|English
,42,Land Revenue Mgmt & District Admn,English Lit|Political Sc.
,41,Personnel and General Administration,Medicine
,41,N.A.,|Civil Engg
,41,Urban Development,Mech.engg.
,41,Energy,History
,40,Land Revenue Mgmt & District Admn,Economics|Business Admn.
,40,Land Revenue Mgmt & District Admn,Hindi
,40,Land Revenue Mgmt & District Admn,Economics|Physics
,39,Agriculture & Cooperation,Mech.engg.
,39,Culture,N.A.
,39,Personnel and General Administration,Economics|English
,39,,Medicine
,39,Agriculture & Cooperation,Mathematics
,38,Personnel and General Administration,Electrical Engg.
,38,N.Applicable,Chemistry
,38,Finance,Mathematics|Physics
,38,Agriculture & Cooperation,Economics|English
,38,Finance,Medicine
,37,N.Applicable,English Lit
,37,Commerce,N.A.
,37,Personnel and General Administration,Botany
,37,N.A.,Economics
,37,Transport,Political Sc.
,37,Urban Development,Law|English
,37,Industries,Mathematics
,37,Land Revenue Mgmt & District Admn,Philosophy
,37,Social Justice & Empowerment,English Lit
,37,Local Self Govt,Economics
,36,Finance,Economics|History
,36,Law & Justice,Economics
,36,N.A.,|Political Sc.
,36,Industries,Chemistry
,36,Personnel and General Administration,Law|English
,36,Environment & Forests,Economics
,36,Water Resources,Physics
,36,N.Applicable,Civil Engg
,36,Finance,Civil Engg
,35,Urban Development,Chemistry
,35,"Consumer Affairs, Food & PD",Economics|Law
,35,Public Works,N.A.
,35,Land Revenue Mgmt & District Admn,Statistics
,35,,Economics
,35,Human Resource Dev,Electrical Engg.
,34,Agriculture & Cooperation,Agriculture
,34,Transport,History
,34,Water Resources,Economics
,34,Human Resource Dev,English Lit
,34,Environment & Forests,English
,34,Planning & Prog Implementation,Political Sc.
,34,Land Revenue Mgmt & District Admn,Sociology
,34,Information & Broadcasting,English
,34,Energy,Political Sc.
