Subject,Experience,Count
Social Science and Liberal Arts,Land Revenue Mgmt & District Admn,1736
"Governance, Law and Management",Land Revenue Mgmt & District Admn,1227
"Engineering, Technology and Mathematics",Land Revenue Mgmt & District Admn,1104
Social Science and Liberal Arts,Personnel and General Administration,828
Natural Sciences,Land Revenue Mgmt & District Admn,815
Social Science and Liberal Arts,Finance,750
Languages and Fine Arts,Land Revenue Mgmt & District Admn,722
"Governance, Law and Management",Personnel and General Administration,588
"Governance, Law and Management",Finance,556
Social Science and Liberal Arts,Agriculture & Cooperation,534
Social Science and Liberal Arts,Industries,507
"Engineering, Technology and Mathematics",Personnel and General Administration,451
Social Science and Liberal Arts,Urban Development,448
"Engineering, Technology and Mathematics",Finance,420
Natural Sciences,Personnel and General Administration,415
Social Science and Liberal Arts,Home,396
"Governance, Law and Management",Industries,393
Social Science and Liberal Arts,Human Resource Dev,381
"Governance, Law and Management",Agriculture & Cooperation,379
"Governance, Law and Management",Urban Development,378
Languages and Fine Arts,Personnel and General Administration,366
Natural Sciences,Finance,363
"Engineering, Technology and Mathematics",Urban Development,361
Languages and Fine Arts,Finance,347
Social Science and Liberal Arts,Social Justice & Empowerment,310
"Governance, Law and Management",Human Resource Dev,307
Social Science and Liberal Arts,Rural Dev,306
"Governance, Law and Management",Home,305
Social Science and Liberal Arts,Health & Family Welfare,295
Natural Sciences,Agriculture & Cooperation,279
Social Science and Liberal Arts,Transport,270
"Engineering, Technology and Mathematics",Industries,269
Social Science and Liberal Arts,"Consumer Affairs, Food & PD",268
"Engineering, Technology and Mathematics",Agriculture & Cooperation,260
Finance,Land Revenue Mgmt & District Admn,259
Natural Sciences,Industries,254
Languages and Fine Arts,Agriculture & Cooperation,254
"Governance, Law and Management",Rural Dev,254
"Engineering, Technology and Mathematics",Human Resource Dev,253
"Engineering, Technology and Mathematics",Rural Dev,245
Social Science and Liberal Arts,Planning & Prog Implementation,239
Social Science and Liberal Arts,Energy,233
Natural Sciences,Urban Development,232
"Governance, Law and Management",Social Justice & Empowerment,220
"Governance, Law and Management",Transport,217
Languages and Fine Arts,Industries,217
Natural Sciences,Human Resource Dev,214
"Governance, Law and Management",Health & Family Welfare,204
Social Science and Liberal Arts,Commerce,201
Natural Sciences,Home,200
"Engineering, Technology and Mathematics",Energy,198
Languages and Fine Arts,Urban Development,194
"Engineering, Technology and Mathematics",Home,194
Languages and Fine Arts,Human Resource Dev,192
Social Science and Liberal Arts,Labour & Employment,188
"Engineering, Technology and Mathematics",Transport,188
"Governance, Law and Management",Energy,187
"Governance, Law and Management","Consumer Affairs, Food & PD",186
Others,Land Revenue Mgmt & District Admn,186
Languages and Fine Arts,Home,184
Medical,Land Revenue Mgmt & District Admn,178
"Engineering, Technology and Mathematics",Social Justice & Empowerment,170
"Engineering, Technology and Mathematics",Health & Family Welfare,168
Natural Sciences,Rural Dev,159
Social Science and Liberal Arts,Environment & Forests,156
Social Science and Liberal Arts,Staff Officers,155
Social Science and Liberal Arts,Water Resources,153
