ID,Name,Service,Cadre,Reference_Value,Qualification,Subject,Division,Source
TN003700,Ms. Anna R Malhotra,Indian Administrative Service,Tamil Nadu,0,Graduate,English Lit,Ordinary,Supremo
TN003700,Ms. Anna R Malhotra,Indian Administrative Service,Tamil Nadu,2,P.G.,N.A.,First,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,0,Certificate,French,Ordinary,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,2,Graduate,Physics,Second,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,4,P.G.,Economic Dev.,Ordinary,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,6,P.G.,Economics,Second,Supremo
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,0,Graduate,Botany,Ordinary,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,0,Graduate,Law,Third,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,2,P.G.,Mathematics,First,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,0,Graduate,Chemistry,First,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,2,P.G.,Chemistry,First,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,0,Graduate,Mathematics,First,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,2,P.G.,Statistics,First,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,0,Graduate,Physics,First,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,2,P.G.,Mathematics,First,Supremo
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,0,Graduate,Economics,Second,Supremo
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,2,P.G.,Economics,Second,Supremo
UP011500,Shri Pc Saxena,Indian Administrative Service,Uttar Pradesh,0,Certificate,German,Ordinary,Supremo
UP011500,Shri Pc Saxena,Indian Administrative Service,Uttar Pradesh,2,Graduate,English Lit,Second,Supremo
UP011500,Shri Pc Saxena,Indian Administrative Service,Uttar Pradesh,4,P.G.,Philosophy,First,Supremo
UP011600,Dr. Ss Sidhu,Indian Administrative Service,Uttar Pradesh,0,Certificate,French,Ordinary,Supremo
UP011600,Dr. Ss Sidhu,Indian Administrative Service,Uttar Pradesh,2,Graduate,Economics,First,Supremo
UP011600,Dr. Ss Sidhu,Indian Administrative Service,Uttar Pradesh,4,P.G.,Economics,First,Supremo
UP011600,Dr. Ss Sidhu,Indian Administrative Service,Uttar Pradesh,6,Ph. D.,Economics,Ordinary,Supremo
KL002000,Shri T Madhava Menon,Indian Administrative Service,Kerala,0,Graduate,Economics,Second,Supremo
KL002000,Shri T Madhava Menon,Indian Administrative Service,Kerala,2,P.G.,Economics,First,Supremo
KN004100,Shri T R Satish Chandran,Indian Administrative Service,Karnataka,0,Diploma,Economics,Ordinary,Supremo
KN004100,Shri T R Satish Chandran,Indian Administrative Service,Karnataka,2,Graduate,Physics,First,Supremo
RJ003900,Shri Br Bahadur,Indian Administrative Service,Rajasthan,0,Graduate,English Lit,First,Supremo
RJ003900,Shri Br Bahadur,Indian Administrative Service,Rajasthan,2,P.G.,English Lit,Second,Supremo
RJ004000,Shri Mm Kohli,Indian Administrative Service,Rajasthan,0,Graduate,Political Sc.,Ordinary,Supremo
RJ004000,Shri Mm Kohli,Indian Administrative Service,Rajasthan,2,P.G.,Economics,Ordinary,Supremo
AM002500,Ms. P P Trivedi,Indian Administrative Service,Assam Meghalya,0,Graduate,Mathematics,First,Supremo
AM002500,Ms. P P Trivedi,Indian Administrative Service,Assam Meghalya,2,P.G.,Mathematics,First,Supremo
AP005200,Shri Shravan Kumar,Indian Administrative Service,Andhra Pradesh,0,Graduate,Economics,First,Supremo
