ID,Name,Service,Cadre,Reference_Value,Qualification,Subject,Division,Source
SK000800,Shri Jigme Dorjee,Indian Administrative Service,Sikkim,0,N.A.,N.A.,Ordinary,Supremo
SK000900,Shri Tp Sharma,Indian Administrative Service,Sikkim,0,Graduate,History,Second,Supremo
TN013100,Dr. Kh Moinuddin,Indian Administrative Service,Tamil Nadu,0,Graduate,Economics,First,Supremo
TN013100,Dr. Kh Moinuddin,Indian Administrative Service,Tamil Nadu,2,P.G.,Economics,First,Supremo
TN013100,Dr. Kh Moinuddin,Indian Administrative Service,Tamil Nadu,4,Ph. D.,Econometrics,Ordinary,Supremo
TN013200,Shri K Dharmarajan,Indian Administrative Service,Tamil Nadu,0,Diploma,German,First,Supremo
TN013200,Shri K Dharmarajan,Indian Administrative Service,Tamil Nadu,2,Graduate,Physics,First,Supremo
TN013200,Shri K Dharmarajan,Indian Administrative Service,Tamil Nadu,4,P.G.,Energy Planning,First,Supremo
TN013200,Shri K Dharmarajan,Indian Administrative Service,Tamil Nadu,6,P.G.,Physics,First,Supremo
TN013400,Shri Ap Bhatikar,Indian Administrative Service,Tamil Nadu,0,Graduate,Economics,Second,Supremo
TN013400,Shri Ap Bhatikar,Indian Administrative Service,Tamil Nadu,2,P.G.,Economics,Second,Supremo
TN013500,Shri Pc Cyriac,Indian Administrative Service,Tamil Nadu,0,Graduate,Civil Engg,First,Supremo
TN013600,Shri Ps Pandyan,Indian Administrative Service,Tamil Nadu,0,Graduate,Law,Third,Supremo
TN013600,Shri Ps Pandyan,Indian Administrative Service,Tamil Nadu,2,Graduate,Mech.engg.,First,Supremo
TN013600,Shri Ps Pandyan,Indian Administrative Service,Tamil Nadu,4,P.G.,Business Admn.,First,Supremo
TN013700,Shri A Balraj,Indian Administrative Service,Tamil Nadu,0,Graduate,Economics,Third,Supremo
TN013700,Shri A Balraj,Indian Administrative Service,Tamil Nadu,2,Graduate,Law,Third,Supremo
TN013700,Shri A Balraj,Indian Administrative Service,Tamil Nadu,4,P.G.,Business Admn.,First,Supremo
TN013700,Shri A Balraj,Indian Administrative Service,Tamil Nadu,6,P.G.,Economics,Second,Supremo
TN013701,Shri Ashoke Joshi,Indian Administrative Service,Tamil Nadu,0,Graduate,Mathematics,Ordinary,Supremo
TN013702,Shri A Venkataraman,Indian Administrative Service,Tamil Nadu,0,Graduate,Agriculture,Ordinary,Supremo
TN013702,Shri A Venkataraman,Indian Administrative Service,Tamil Nadu,2,P.G.,Agriculture,Ordinary,Supremo
AM009400,Shri Rangan Dutta,Indian Administrative Service,Assam Meghalya,0,Graduate,Economics,Second,Supremo
AM009400,Shri Rangan Dutta,Indian Administrative Service,Assam Meghalya,2,PG Diploma,Agrl.Economics,Ordinary,Supremo
AM009500,Shri Tk Kamilla,Indian Administrative Service,Assam Meghalya,0,Diploma,Metallurgy,First,Supremo
AM009500,Shri Tk Kamilla,Indian Administrative Service,Assam Meghalya,2,Graduate,Mech.engg.,First,Supremo
AM009600,Shri Cp Misra,Indian Administrative Service,Assam Meghalya,0,Graduate,English Lit,Second,Supremo
AM009600,Shri Cp Misra,Indian Administrative Service,Assam Meghalya,2,P.G.,English Lit,First,Supremo
AM009600,Shri Cp Misra,Indian Administrative Service,Assam Meghalya,4,P.G.,Geography,Second,Supremo
AM009700,Shri Vinay Kohli,Indian Administrative Service,Assam Meghalya,0,Graduate,English,Second,Supremo
AM009700,Shri Vinay Kohli,Indian Administrative Service,Assam Meghalya,2,P.G.,English,Second,Supremo
AM009900,Shri Jp Singh,Indian Administrative Service,Assam Meghalya,0,Graduate,Philosophy,Second,Supremo
AM009900,Shri Jp Singh,Indian Administrative Service,Assam Meghalya,2,P.G.,Philosophy,Second,Supremo
AP015500,Dr. R.V.V.Ayyar,Indian Administrative Service,Andhra Pradesh,0,Graduate,Chemistry,First,Supremo
AP015500,Dr. R.V.V.Ayyar,Indian Administrative Service,Andhra Pradesh,2,P.G.,Chemistry,First,Supremo
AP015500,Dr. R.V.V.Ayyar,Indian Administrative Service,Andhra Pradesh,4,Ph. D.,Chemistry,Ordinary,Supremo
AP015800,Shri Pvrk Prasad,Indian Administrative Service,Andhra Pradesh,0,Certificate,Management,Ordinary,Supremo
AP015800,Shri Pvrk Prasad,Indian Administrative Service,Andhra Pradesh,2,Graduate,English Lit,Second,Supremo
AP015800,Shri Pvrk Prasad,Indian Administrative Service,Andhra Pradesh,4,Graduate,Law,Second,Supremo
AP015800,Shri Pvrk Prasad,Indian Administrative Service,Andhra Pradesh,6,P.G.,English Lit,First,Supremo
AP015900,Shri Pp Williams,Indian Administrative Service,Andhra Pradesh,0,Graduate,Botany,Second,Supremo
AP015900,Shri Pp Williams,Indian Administrative Service,Andhra Pradesh,2,P.G.,Zoology,First,Supremo
AP016000,Ms. Sathi Nair,Indian Administrative Service,Andhra Pradesh,0,Graduate,Chemistry,First,Supremo
AP016000,Ms. Sathi Nair,Indian Administrative Service,Andhra Pradesh,2,P.G.,English Lit,Second,Supremo
AP016100,Shri Arjuna Rao Cheeli,Indian Administrative Service,Andhra Pradesh,0,Graduate,History,Third,Supremo
AP016100,Shri Arjuna Rao Cheeli,Indian Administrative Service,Andhra Pradesh,2,P.G.,Economics,Second,Supremo
AP016200,Shri V Changasan,Indian Administrative Service,Andhra Pradesh,0,Graduate,Economics,Second,Supremo
AP016200,Shri V Changasan,Indian Administrative Service,Andhra Pradesh,2,P.G.,Economics,Third,Supremo
BH017600,Shri A K Chatterjee,Indian Administrative Service,Bihar,0,Graduate,Economics,Second,Supremo
BH017600,Shri A K Chatterjee,Indian Administrative Service,Bihar,2,P.G.,Economics,First,Supremo
BH017800,Shri Mukund Prasad,Indian Administrative Service,Bihar,0,Graduate,Commerce,Second,Supremo
BH017800,Shri Mukund Prasad,Indian Administrative Service,Bihar,2,P.G.,Commerce,First,Supremo
BH017900,Ms. Krishna Singh,Indian Administrative Service,Bihar,0,Graduate,History,First,Supremo
BH017900,Ms. Krishna Singh,Indian Administrative Service,Bihar,2,P.G.,History,Second,Supremo
BH018100,Shri Sn Biswas,Indian Administrative Service,Bihar,0,Graduate,Physics,First,Supremo
BH018100,Shri Sn Biswas,Indian Administrative Service,Bihar,2,P.G.,Nuclear Physics,First,Supremo
BH018300,Shri K Arumugum,Indian Administrative Service,Bihar,0,Graduate,Commerce,Second,Supremo
BH018401,Ms. Malti S Sinha,Indian Administrative Service,Bihar,0,Graduate,English Lit,Second,Supremo
BH018401,Ms. Malti S Sinha,Indian Administrative Service,Bihar,2,P.G.,English Lit,Second,Supremo
BH018402,Shri N P Singh,Indian Administrative Service,Bihar,0,Graduate,Sociology,First,Supremo
BH018402,Shri N P Singh,Indian Administrative Service,Bihar,2,P.G.,Mathematics,First,Supremo
CG018200,Shri Vinod Vaish,Indian Administrative Service,Chhattisgarh,0,Graduate,Physics,First,Supremo
CG018200,Shri Vinod Vaish,Indian Administrative Service,Chhattisgarh,2,P.G.,Physics,First,Supremo
UD025700,Shri Ak Rastogi,Indian Administrative Service,Uttarakhand,0,Graduate,Physics,First,Supremo
UD025700,Shri Ak Rastogi,Indian Administrative Service,Uttarakhand,2,P.G.,Mathematics,First,Supremo
UP025300,Shri Jn Ranjen,Indian Administrative Service,Uttar Pradesh,0,Graduate,Economics,Second,Supremo
UP025300,Shri Jn Ranjen,Indian Administrative Service,Uttar Pradesh,2,P.G.,Economics,First,Supremo
UP025500,Shri Divakar Dev,Indian Administrative Service,Uttar Pradesh,0,Graduate,Physics,First,Supremo
UP025500,Shri Divakar Dev,Indian Administrative Service,Uttar Pradesh,2,P.G.,Mathematics,First,Supremo
UP025800,Shri Sk Tripathi,Indian Administrative Service,Uttar Pradesh,0,Graduate,Physics,First,Supremo
