ID,Name,Service,Cadre,Allotment_Year,Date_of_Birth,Date_of_Joining,Source_of_Recruitment,Gender,Place_of_Domicile,Mother_Tongue,Languages_Known,Retired,Retirement_Reason,Source
MH006800,Shri B G Deshmukh,Indian Administrative Services,Maharashtra ,1951,26-03-1929,01-07-1951,Direct Recruitment,Male,Maharashtra,Marathi,English Gujarati Hindi,FALSE,Retired after Extension/Re-Employment,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Services,Andhra Pradesh ,1952,27-03-1930,01-07-1952,Direct Recruitment,Male,Karnataka,Tamil,English Hindi Kannada Telugu,FALSE,Retired after Extension/Re-Employment,Supremo
BH005400,Shri N Nagamani,Indian Administrative Services,Bihar ,1952,06-05-1930,01-07-1952,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi Malayalam,FALSE,Superannuated,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Services,Bihar ,1952,07-07-1930,01-07-1952,Direct Recruitment,Male,Uttar Pradesh,Hindi,Bengali English Punjabi Urdu,FALSE,Superannuated,Supremo
GJ003000,Shri M Sivagnanam,Indian Administrative Services,Gujarat ,1952,23-02-1930,01-07-1952,Direct Recruitment,Male,Tamil Nadu,Tamil,English Gujarati Hindi,FALSE,Superannuated,Supremo
KL002000,Shri T Madhava Menon,Indian Administrative Services,Kerala ,1952,19-11-1929,01-07-1952,Direct Recruitment,Male,Kerala,Malayalam,English,FALSE,Superannuated,Supremo
KN004100,Shri T R Satish Chandran,Indian Administrative Services,Karnataka ,1952,14-04-1929,01-07-1952,Direct Recruitment,Male,Karnataka,Kannada,English Hindi,FALSE,Retired after Extension/Re-Employment,Supremo
RJ003900,Shri Br Bahadur,Indian Administrative Services,Rajasthan ,1952,28-02-1930,01-07-1952,Direct Recruitment,Male,Delhi,Hindi,English,FALSE,Retired compulsorily,Supremo
RJ004000,Shri Mm Kohli,Indian Administrative Services,Rajasthan ,1952,04-06-1930,01-07-1952,Direct Recruitment,Male,Uttar Pradesh,Punjabi,English Hindi,FALSE,Superannuated,Supremo
AM002500,Ms. P P Trivedi,Indian Administrative Services,Assam Meghalya ,1953,27-02-1930,01-07-1953,Direct Recruitment,Female,Gujarat,Gujarati,Gujarati Hindi Marathi Punjabi,FALSE,Superannuated,Supremo
AP005200,Shri Shravan Kumar,Indian Administrative Services,Andhra Pradesh ,1953,23-01-1930,01-07-1953,Direct Recruitment,Male,Andhra Pradesh,Urdu,Hindi Marathi Telugu,FALSE,Retired after Extension/Re-Employment,Supremo
BH007100,Shri Cr Vaidyanathan,Indian Administrative Services,Bihar ,1953,22-03-1930,01-07-1953,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi,FALSE,Superannuated,Supremo
BH007200,Shri Vinod Kumar,Indian Administrative Services,Bihar ,1953,14-09-1929,01-07-1953,Direct Recruitment,Male,Uttar Pradesh,Hindi,Bengali English German Urdu,FALSE,Superannuated,Supremo
GJ003900,Ms. R M Shroff,Indian Administrative Services,Gujarat ,1953,13-04-1931,01-07-1953,Direct Recruitment,Female,Gujarat,Gujarati,English Hindi Sanskrit,FALSE,Superannuated,Supremo
HP000500,Shri Kc Pandeya,Indian Administrative Services,Himachal Pradesh ,1953,01-09-1930,01-07-1953,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Punjabi Sanskrit Urdu,FALSE,Superannuated,Supremo
HY002400,Shri Pp Caprihan,Indian Administrative Services,Haryana ,1953,07-03-1931,01-07-1953,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Punjabi Urdu,FALSE,Superannuated,Supremo
KL002200,Shri R Gopalaswamy,Indian Administrative Services,Kerala ,1953,31-01-1931,01-07-1953,Direct Recruitment,Male,Tamil Nadu,Tamil,English Malayalam,FALSE,Superannuated,Supremo
